Budget	Avg Rating	Month	Class	Movie Title	Performance Ratio	Genres
10350000.00	4.128245716	11	1	Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)	16.83	Comedy|Romance
1125000.00	3.356041131	10	1	Waiting... (2005)	16.60	Comedy
1000000.00	3.67244471	12	1	Blue Valentine (2010)	16.57	Drama|Romance
10000000.00	2.803818034	10	1	Saw III (2006)	16.39	Crime|Horror|Thriller
1000000.00	3.422279793	4	1	Shine a Light (2008)	16.17	Documentary|Musical|IMAX
1000000.00	2.866541353	9	1	Cry_Wolf (a.k.a. Cry Wolf) (2005)	15.94	Drama|Horror|Mystery|Thriller
10000000.00	3.555641422	8	1	Don't Breathe (2016)	15.90	Thriller
20000000.00	3.661605764	7	1	Conjuring, The (2013)	15.90	Horror|Thriller
5000000.00	2.919225968	10	1	Jackass: The Movie (2002)	15.86	Action|Comedy|Documentary
16000000.00	3.634943182	7	1	Welcome to the Sticks (Bienvenue chez les Ch'tis) (2008)	15.47	Comedy
5500000.00	3.952321981	11	1	Chorus, The (Choristes, Les) (2004)	15.19	Drama
15000000.00	4.017234717	11	1	The Imitation Game (2014)	15.18	Drama|Thriller|War
18000000.00	3.210457516	5	1	Neighbors (2014)	15.05	Comedy
250000.00	3.466165414	10	1	Like Crazy (2011)	14.93	Drama|Romance
1500000.00	3.566021867	5	1	Waitress (2007)	14.81	Comedy|Drama|Romance
19000000.00	2.727734608	7	1	Scary Movie (2000)	14.59	Comedy|Horror
18000000.00	3.3812515	11	1	Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)	14.52	Comedy
2500000.00	3.763999316	7	1	Garden State (2004)	14.41	Comedy|Drama|Romance
4000000.00	3.794841032	7	1	Boyhood (2014)	14.32	Drama
40000000.00	1.963699222	2	1	Fifty Shades of Grey (2015)	14.27	Drama|Romance
15000000.00	3.863090086	12	1	Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)	14.23	Action|Drama|Romance
58000000.00	3.859517567	2	1	Deadpool (2016)	13.81	Action|Adventure|Comedy|Sci-Fi
75000000.00	2.758426966	6	1	Despicable Me 3 (2017)	13.76	Adventure|Animation|Children|Comedy
50000000.00	2.386474411	11	1	Twilight Saga: New Moon, The (2009)	13.75	Drama|Fantasy|Horror|Romance|Thriller
10000000.00	2.775044991	10	1	Saw IV (2007)	13.58	Crime|Horror|Thriller
70000000.00	3.506682074	5	1	Shrek 2 (2004)	13.39	Adventure|Animation|Children|Comedy|Musical|Romance
2500000.00	2.875	7	1	2016: Obama's America (2012)	13.34	Documentary
35000000.00	3.639332021	6	1	Hangover, The (2009)	13.31	Comedy|Crime
4000000.00	2.518072289	1	1	The Boy Next Door (2015)	13.20	Mystery|Thriller
15000.00	3.322115385	6	1	Puffy Chair, The (2006)	13.02	Drama|Romance
2500000.00	3.308823529	7	1	Kevin Hart: Let Me Explain (2013)	12.93	Comedy|Documentary
1800000.00	3.643821391	6	1	Beasts of the Southern Wild (2012)	12.93	Drama|Fantasy
76000000.00	3.635254989	7	1	Despicable Me 2 (2013)	12.83	Animation|Children|Comedy|IMAX
3000000.00	3.27938343	8	1	Original Kings of Comedy, The (2000)	12.75	Comedy|Documentary
13900000.00	3.613021167	12	1	Brokeback Mountain (2005)	12.73	Drama|Romance
8000000.00	3.882123362	7	1	Little Miss Sunshine (2006)	12.58	Adventure|Comedy|Drama
9000000.00	3.160036166	7	1	Purge: Anarchy, The (2014)	12.39	Action|Horror|Thriller
17000000.00	3.707115874	8	1	Others, The (2001)	12.22	Drama|Horror|Mystery|Thriller
94000000.00	4.109477786	12	1	Lord of the Rings: The Return of the King, The (2003)	12.14	Action|Adventure|Drama|Fantasy
5000000.00	3.909492481	11	1	Dallas Buyers Club (2013)	12.12	Drama
10000000.00	3.114243323	6	1	Insidious: Chapter 3 (2015)	12.07	Fantasy|Horror|Thriller
175000.00	3.546573876	7	1	Another Earth (2011)	12.02	Drama|Romance|Sci-Fi
9000000.00	2.774819745	10	1	Texas Chainsaw Massacre, The (2003)	12.00	Horror
300000.00	3.577464789	10	1	Pieces of April (2003)	11.90	Comedy|Drama
10000000.00	2.9296875	7	1	The Purge: Election Year (2016)	11.86	Action|Horror|Sci-Fi
52000000.00	3.086424958	7	1	Mamma Mia! (2008)	11.84	Comedy|Musical|Romance
5000000.00	3.550671551	8	1	The Gift (2015)	11.80	Drama|Horror
230000.00	3.534193548	10	1	Bronson (2009)	11.76	Action|Comedy|Drama|Thriller
11000000.00	3.846877261	12	1	Fighter, The (2010)	11.75	Drama
75000000.00	3.31294964	7	1	The Secret Life of Pets (2016)	11.68	Animation|Comedy
2700000.00	3.590909091	9	1	Lage Raho Munna Bhai (2006)	11.67	Comedy|Drama|Romance
3500000.00	3.204545455	2	1	The Love Witch (2016)	11.56	Drama|Horror|Thriller
1000000.00	3.615853659	10	1	Sessions, The (Surrogate, The) (2012)	11.50	Drama
40000000.00	3.071879287	7	1	Lucy (2014)	11.44	Action|Sci-Fi
19000000.00	2.885047281	6	1	Bad Teacher (2011)	11.34	Comedy
500000.00	3.302070646	10	1	Monsters (2010)	11.28	Drama|Sci-Fi
25000000.00	3.41431587	4	1	Bridget Jones's Diary (2001)	11.26	Comedy|Drama|Romance
21000000.00	3.743027349	11	1	Silver Linings Playbook (2012)	11.26	Comedy|Drama
50000000.00	3.195490525	6	1	Ted (2012)	11.12	Comedy|Fantasy
25000000.00	3.931573231	12	1	Gran Torino (2008)	10.98	Crime|Drama
10800000.00	2.760906758	10	1	Saw V (2008)	10.95	Crime|Horror|Thriller
4000000.00	3.487651251	12	1	Monster's Ball (2001)	10.94	Drama|Romance
15000000.00	2.955142232	10	1	Jackass Presents: Bad Grandpa (2013)	10.73	Comedy
1987650.00	3.357569721	9	1	Buried (2010)	10.70	Mystery|Thriller
5000000.00	3.818965517	6	1	The Big Sick (2017)	10.60	Comedy|Romance
12000000.00	3.597566575	2	1	Chronicle (2012)	10.31	Action|Sci-Fi|Thriller
750000.00	3.818181818	9	1	Kevin Hart: Laugh at My Pain (2011)	10.28	Comedy|Documentary
20000000.00	3.637561779	6	1	Me Before You (2016)	10.27	Drama|Romance
34000000.00	3.362936486	9	1	Maze Runner, The (2014)	10.24	Action|Mystery|Sci-Fi
30000000.00	3.535867286	12	1	Chicago (2002)	10.23	Comedy|Crime|Drama|Musical
3300000.00	4.120283856	10	1	Whiplash (2014)	10.14	Drama
900000.00	2.2	4	1	Meet the Blacks (2016)	10.11	Comedy|Horror
1000000.00	2.520833333	8	1	Godzilla vs. Megaguirus (Gojira tai Megagirasu: Jî shômetsu sakusen) (2000)	10.04	Action|Sci-Fi
4000000.00	3.379448399	7	1	Scoop (2006)	10.03	Comedy|Fantasy|Mystery
94000000.00	3.855150943	5	1	Finding Nemo (2003)	9.96	Adventure|Animation|Children|Comedy
94000000.00	4.079777187	12	1	Lord of the Rings: The Two Towers, The (2002)	9.94	Adventure|Fantasy
29000000.00	3.276015857	5	1	Pitch Perfect 2 (2015)	9.90	Comedy
15000000.00	3.131195335	1	1	Mama (2013)	9.87	Horror
50000000.00	3.786280348	5	1	Shrek (2001)	9.84	Adventure|Animation|Children|Comedy|Fantasy|Romance
17500000.00	3.730274745	8	1	Superbad (2007)	9.71	Comedy
90000000.00	3.340355225	7	1	Ice Age: Dawn of the Dinosaurs (2009)	9.55	Action|Adventure|Animation|Children|Comedy|Romance
30000000.00	2.917900219	8	1	American Pie 2 (2001)	9.55	Comedy
8000000.00	3.652192243	9	1	Easy A (2010)	9.53	Comedy|Romance
12000000.00	3.26446281	4	1	Think Like a Man (2012)	9.45	Comedy
58000000.00	3.474304716	12	1	American Sniper (2014)	9.44	Action|War
13000000.00	3.179356358	1	1	Save the Last Dance (2001)	9.40	Drama|Romance
25000000.00	2.922312556	8	1	Mr. Bean's Holiday (2007)	9.40	Comedy
35000000.00	3.463998335	6	1	Devil Wears Prada, The (2006)	9.32	Comedy|Drama
10000000.00	3.49795501	12	1	Calendar Girls (2003)	9.31	Comedy
2500000.00	3.971175166	6	1	Hunt for the Wilderpeople (2016)	9.30	Adventure|Comedy
9400000.00	3.831017649	11	1	Volver (2006)	9.28	Comedy|Drama
25000000.00	3.97766323	12	1	Hidden Figures (2016)	9.26	Drama
95000000.00	3.239366516	7	1	Ice Age 4: Continental Drift (2012)	9.26	Adventure|Animation|Comedy
12000000.00	3.34906428	8	1	Step Up (2006)	9.25	Drama|Romance
9000000.00	3.115482234	5	1	Strangers, The (2008)	9.23	Horror|Thriller
10000000.00	2.699893955	1	1	White Noise (2005)	9.21	Drama|Horror|Mystery|Sci-Fi|Thriller
5500000.00	3.09798995	2	1	Tyler Perry's Diary of a Mad Black Woman (2005)	9.17	Comedy|Drama|Romance
13000000.00	3.055706522	6	1	The Shallows (2016)	9.15	Drama|Thriller
8500000.00	3.861973392	11	1	Manchester by the Sea (2016)	9.14	Drama
9000000.00	3.171641791	10	1	Ouija: Origin of Evil (2016)	9.09	Horror|Thriller
25000000.00	5	1	1	Taken in Broad Daylight (2009)	9.08	Mystery|Thriller
20000000.00	3.215328467	7	1	Bad Moms (2016)	9.07	Comedy
4000000.00	3.513879485	7	1	Kids Are All Right, The (2010)	9.07	Comedy|Drama
20000000.00	3.875846228	10	1	12 Years a Slave (2013)	9.05	Drama
10000000.00	3.397727273	3	1	The Second Best Exotic Marigold Hotel (2015)	9.04	Comedy|Drama
1200000.00	4.035932968	11	1	You Can Count on Me (2000)	9.02	Drama|Romance
32500000.00	3.487286868	5	1	Bridesmaids (2011)	8.91	Comedy
40000000.00	3.080439405	6	1	Karate Kid, The (2010)	8.79	Action|Children|Drama
100000000.00	3.616070568	11	1	Harry Potter and the Chamber of Secrets (2002)	8.79	Adventure|Fantasy
30000000.00	2.8	4	1	Baahubali 2: The Conclusion (2017)	8.79	Action|Adventure|War
20000000.00	3.577826433	11	1	Descendants, The (2011)	8.78	Comedy|Drama
35000000.00	3.763516727	11	1	Blind Side, The  (2009)	8.73	Drama
75000000.00	3.29487469	3	1	Ice Age 2: The Meltdown (2006)	8.69	Adventure|Animation|Children|Comedy
11500000.00	2.941091954	1	1	Dirty Grandpa (2016)	8.69	Comedy
60000000.00	3.059295114	12	1	Meet the Fockers (2004)	8.61	Comedy
15000000.00	3.141552511	2	1	Woman in Black, The (2012)	8.60	Drama|Horror|Thriller
15000000.00	3.722406181	9	1	The Queen (2006)	8.59	Drama
12000000.00	3.117365269	3	1	Project X (2012)	8.59	Comedy
20000000.00	3.184247539	10	1	Jackass 3D (2010)	8.58	Action|Comedy|Documentary
5000000.00	3.410714286	8	1	No Escape (2015)	8.57	Thriller
14500000.00	2.845238095	7	1	Magic Mike XXL (2015)	8.53	Comedy|Drama
25000000.00	3.905391448	8	1	Help, The (2011)	8.52	Drama
17500000.00	3.071927374	2	1	Step Up 2 the Streets (2008)	8.49	Drama|Musical|Romance
50000.00	3.258974359	11	1	Tiny Furniture (2010)	8.48	Comedy
80000000.00	3.562142165	3	1	The Hunger Games (2012)	8.47	Action|Adventure|Drama|Sci-Fi|Thriller
2800000.00	3.600212089	7	1	Hustle & Flow (2005)	8.43	Crime|Drama
13000000.00	3.8967698	5	1	Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009)	8.42	Crime|Drama|Mystery|Thriller
45000000.00	3.17806841	10	1	Taken 2 (2012)	8.40	Action|Crime|Drama|Thriller
5000000.00	3.287301587	8	1	As Above, So Below (2014)	8.36	Horror|Thriller
10000000.00	4.060505129	12	1	Snatch (2000)	8.36	Comedy|Crime|Thriller
190000.00	3.719665272	9	1	Weekend (2011)	8.30	Drama|Romance
12000000.00	3.747912317	11	1	Philomena (2013)	8.25	Comedy|Drama
20000000.00	2.751338944	3	1	Bringing Down the House (2003)	8.23	Comedy
15000000.00	3.805216714	11	1	The Theory of Everything (2014)	8.22	Drama|Romance
6000000.00	3.858284126	9	1	Last King of Scotland, The (2006)	8.19	Drama|Thriller
42000.00	3.636507937	10	1	George Washington (2000)	8.16	Drama
109000000.00	4.104167033	12	1	Lord of the Rings: The Fellowship of the Ring, The (2001)	8.14	Adventure|Fantasy
7000000.00	3.794503506	10	1	Good Night, and Good Luck. (2005)	8.08	Crime|Drama
8500000.00	3.009121622	8	1	Star Wars: The Clone Wars (2008)	8.08	Action|Adventure|Animation|Sci-Fi
2000000.00	3.691797642	6	1	Winter's Bone (2010)	8.07	Drama|Thriller
5000000.00	3.812637363	11	1	Bad Education (La mala educación) (2004)	8.06	Drama|Thriller
17000000.00	3.152212389	8	1	Let's Be Cops (2014)	8.05	Comedy|Crime
18000000.00	3.199539776	9	1	Exorcism of Emily Rose, The (2005)	8.03	Crime|Drama|Horror|Thriller
16000000.00	3.755257732	11	1	The Artist (2011)	8.02	Comedy|Drama|Romance
4600000.00	3.678571429	9	1	Barfi! (2012)	7.99	Comedy|Drama|Romance
190000000.00	3.396634615	4	1	Furious 7 (2015)	7.98	Action|Crime|Thriller
27500000.00	3.463485317	6	1	Knocked Up (2007)	7.97	Comedy|Drama|Romance
7000000.00	3.578403756	2	1	Definitely, Maybe (2008)	7.95	Comedy|Drama|Romance
25000000.00	3.605504587	1	1	A Dog's Purpose (2017)	7.94	Comedy|Drama
3500000.00	3.256369427	2	1	Dark Skies (2013)	7.92	Horror|Sci-Fi|Thriller
160000000.00	3.585164835	3	1	Beauty and the Beast (2017)	7.90	Fantasy|Romance
18000000.00	3.153951392	7	1	Legally Blonde (2001)	7.88	Comedy|Romance
69000000.00	3.758592878	7	1	Despicable Me (2010)	7.88	Animation|Children|Comedy|Crime
10000000.00	2.25170068	11	1	Skyline (2010)	7.87	Sci-Fi|Thriller
40000000.00	3.492987377	6	1	Proposal, The (2009)	7.87	Comedy|Romance
17000000.00	2.702808112	10	1	Saw VII 3D - The Final Chapter (2010)	7.87	Horror|Mystery|Thriller
10000000.00	2.346153846	10	1	Paranormal Activity: The Ghost Dimension (2015)	7.81	Horror|Thriller
125000000.00	3.654772488	11	1	Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)	7.80	Adventure|Children|Fantasy
215000000.00	3.35468095	6	1	Jurassic World (2015)	7.78	Action|Adventure|Drama|Sci-Fi|Thriller
6000000.00	3.803862113	12	1	Wrestler, The (2008)	7.77	Drama
11000000.00	3.132495164	9	1	Jackass Number Two (2006)	7.75	Comedy|Documentary
3000000.00	3.94186747	5	1	Before Midnight (2013)	7.75	Drama|Romance
12000000.00	3.725541299	12	1	House of Flying Daggers (Shi mian mai fu) (2004)	7.74	Action|Drama|Romance
30000000.00	3.836522552	12	1	Million Dollar Baby (2004)	7.73	Drama
20000000.00	1.80859375	10	1	Beverly Hills Chihuahua (2008)	7.71	Adventure|Children|Comedy
15000.00	3.033333333	4	1	Breaking Upwards (2010)	7.71	Romance
40000000.00	2.822580645	1	1	Resident Evil: The Final Chapter (2017)	7.68	Action|Horror|Sci-Fi
60000000.00	3.695239009	2	1	The Lego Movie (2014)	7.63	Action|Adventure|Animation|Children|Comedy|Fantasy
13000000.00	0.875	2	1	Justin Bieber: Never Say Never (2011)	7.62	Documentary
60000000.00	3.595186179	3	1	300 (2007)	7.57	Action|Fantasy|War|IMAX
5500000.00	3.145172414	9	1	Don Jon (2013)	7.50	Comedy|Drama|Romance
16000000.00	3.139338036	5	1	Road Trip (2000)	7.48	Comedy
1500000.00	3.687157895	10	1	Squid and the Whale, The (2005)	7.46	Comedy|Drama
12000000.00	3.96003793	11	1	About Time (2013)	7.44	Drama|Fantasy|Romance
19000000.00	2.922023182	8	1	Sausage Party (2016)	7.44	Animation|Comedy
750000.00	3.263613861	4	1	Aqua Teen Hunger Force Colon Movie Film for Theaters (2007)	7.36	Action|Adventure|Animation|Comedy|Fantasy|Mystery|Sci-Fi
13000000.00	3.707217415	1	1	The Butterfly Effect (2004)	7.36	Drama|Sci-Fi|Thriller
14000000.00	2.524221453	1	1	My Bloody Valentine 3-D (2009)	7.35	Horror|Thriller
80000000.00	3.009262026	5	1	Hangover Part II, The (2011)	7.33	Comedy
18000000.00	3.54565519	4	1	Mean Girls (2004)	7.28	Comedy
72500000.00	3.436550284	7	1	Simpsons Movie, The (2007)	7.27	Animation|Comedy
25000000.00	2.225269344	3	1	Scooby-Doo 2: Monsters Unleashed (2004)	7.25	Action|Adventure|Children|Comedy|Mystery
37000000.00	3.483545866	8	1	We're the Millers (2013)	7.24	Comedy|Crime
57500000.00	2.815115063	5	1	Sex and the City (2008)	7.22	Comedy|Romance
28000000.00	3.733455882	8	1	Straight Outta Compton (2015)	7.22	Drama
35000000.00	3.796582222	12	1	True Grit (2010)	7.21	Western
26000000.00	2.349482596	1	1	Paul Blart: Mall Cop (2009)	7.15	Action|Comedy|Crime
7000000.00	3.705481063	9	1	Capote (2005)	7.13	Crime|Drama
12000000.00	3.241638796	7	1	Paper Towns (2015)	7.13	Drama|Mystery|Romance
11000000.00	3.457964602	8	1	If I Stay (2014)	7.12	Drama
30000000.00	3.818616124	8	1	District 9 (2009)	7.08	Mystery|Sci-Fi|Thriller
40000000.00	3.460977249	7	1	Wedding Crashers (2005)	7.08	Comedy|Romance
5000000.00	2.575862069	2	1	The Lazarus Effect (2015)	7.07	Horror|Thriller
700000.00	3.690677966	8	1	Half Nelson (2006)	7.02	Drama
20000000.00	2.356923077	2	1	Jungle Book 2, The (2003)	7.01	Animation|Children
2000000.00	3.889922978	12	1	Waltz with Bashir (Vals im Bashir) (2008)	6.96	Animation|Documentary|Drama|War
4000000.00	3.661433649	8	1	Saving Grace (2000)	6.95	Comedy
700000.00	3.557065217	6	1	Rize (2005)	6.94	Documentary
55000000.00	2.291428571	2	1	Fifty Shades Darker (2017)	6.93	Drama|Romance
32000000.00	3.361028051	11	1	Elf (2003)	6.88	Children|Comedy|Fantasy
12000000.00	3.541907514	2	1	Act of Valor (2012)	6.87	Action|Thriller|War
25000000.00	3.312456567	1	1	Cloverfield (2008)	6.85	Action|Mystery|Sci-Fi|Thriller
48000000.00	2.976780186	1	1	Taken 3 (2015)	6.83	Action|Crime|Thriller
17000000.00	3.581081081	9	1	Pitch Perfect (2012)	6.83	Comedy|Musical
150000000.00	3.950760814	3	1	Zootopia (2016)	6.80	Action|Adventure|Animation|Children|Comedy
7000000.00	2.406509695	1	1	Darkness Falls (2003)	6.76	Horror|Thriller
225000000.00	3.816396071	5	1	Avengers, The (2012)	6.75	Action|Adventure|Sci-Fi|IMAX
34000000.00	3.973244147	6	1	Baby Driver (2017)	6.69	Action|Crime|Thriller
92000000.00	3.857842123	11	1	Incredibles, The (2004)	6.68	Action|Adventure|Animation|Children|Comedy
55000000.00	3.363955956	2	1	Hitch (2005)	6.67	Comedy|Romance
22000000.00	3.011990408	9	1	Game Plan, The (2007)	6.66	Comedy
130000000.00	3.544751884	11	1	The Hunger Games: Catching Fire (2013)	6.65	Action|Adventure|Sci-Fi|IMAX
8000000.00	3.239651416	1	1	That Awkward Moment (2014)	6.63	Comedy|Romance
50000000.00	3.481187754	6	1	22 Jump Street (2014)	6.63	Action|Comedy|Crime
20000000.00	3.64853486	10	1	Babel (2006)	6.61	Drama|Thriller
20000000.00	3.391742913	10	1	School of Rock (2003)	6.60	Comedy|Musical
70000000.00	3.36749732	6	1	Cars (2006)	6.60	Animation|Children|Comedy
55000000.00	2.401717557	12	1	Alvin and the Chipmunks (2007)	6.59	Children|Comedy
30000000.00	3.5399754	2	1	Vow, The (2012)	6.59	Drama|Romance
30000000.00	3.720714411	10	1	Wallace & Gromit in The Curse of the Were-Rabbit (2005)	6.59	Adventure|Animation|Children|Comedy
25000000.00	3.997973504	11	1	No Country for Old Men (2007)	6.56	Crime|Drama
425000000.00	3.664750958	12	1	Avatar (2009)	6.55	Action|Adventure|Sci-Fi|IMAX
6000000.00	3.171254424	4	1	National Lampoon's Van Wilder (2002)	6.54	Comedy
16000000.00	3.612374886	8	1	Vicky Cristina Barcelona (2008)	6.53	Comedy|Drama|Romance
24000000.00	3.353296703	12	1	Rocky Balboa (2006)	6.51	Action|Drama
29000000.00	3.792631345	11	1	Walk the Line (2005)	6.47	Drama|Musical|Romance
17000000.00	3.66857673	10	1	Sideways (2004)	6.46	Comedy|Drama|Romance
40000000.00	3.557588652	12	1	American Hustle (2013)	6.45	Crime|Drama
12000000.00	3.122727273	9	1	Barbershop (2002)	6.42	Comedy
6900000.00	2.866666667	9	1	House at the End of the Street (2012)	6.39	Horror|Thriller
4000000.00	2.458333333	3	1	Last Exorcism Part II, The (2013)	6.36	Horror|Thriller
500000.00	3.81348637	6	1	Wordplay (2006)	6.36	Documentary
8000000.00	2.192073171	1	1	You Got Served (2004)	6.35	Drama|Musical
11000000.00	2.836560364	10	1	Saw VI (2009)	6.34	Crime|Horror|Mystery|Thriller
70000000.00	2.119647355	12	1	Alvin and the Chipmunks: The Squeakquel (2009)	6.34	Animation|Children|Comedy|Musical
10000000.00	2.772727273	2	1	Tyler Perry's Madea's Family Reunion (2006)	6.33	Comedy|Drama
110000000.00	3.650623339	10	1	Gravity (2013)	6.33	Action|Sci-Fi|IMAX
150000000.00	3.768272494	7	1	Harry Potter and the Order of the Phoenix (2007)	6.29	Adventure|Drama|Fantasy|IMAX
9500000.00	2.850307587	1	1	Next Friday (2000)	6.28	Comedy
35000000.00	3.088378566	5	1	What Happens in Vegas... (2008)	6.24	Comedy|Romance
5000000.00	2.890298507	3	1	Spring Breakers (2013)	6.23	Comedy|Crime|Drama
2300000.00	3.35	3	1	Do You Believe? (2015)	6.22	Drama
26000000.00	3.065746955	8	1	Freaky Friday (2003)	6.19	Children|Comedy|Fantasy
25000000.00	3.121253406	1	1	Ride Along (2014)	6.15	Action|Comedy
108000000.00	4.048215132	10	1	The Martian (2015)	6.15	Adventure|Drama|Sci-Fi
125000000.00	3.144982464	5	1	Da Vinci Code, The (2006)	6.14	Drama|Mystery|Thriller
125000000.00	3.4684461	11	1	The Hunger Games: Mockingjay - Part 1 (2014)	6.13	Adventure|Sci-Fi|Thriller
130000000.00	3.787277767	6	1	Harry Potter and the Prisoner of Azkaban (2004)	6.13	Adventure|Fantasy|IMAX
8300000.00	3.7	5	1	Yeh Jawaani Hai Deewani (2013)	6.12	Comedy|Drama|Musical|Romance
25000000.00	3.697468451	12	1	Chocolat (2000)	6.10	Drama|Romance
136200000.00	2.523384354	11	1	Twilight Saga: Breaking Dawn - Part 2, The (2012)	6.09	Adventure|Drama|Fantasy|Romance|IMAX
200000000.00	3.557847465	5	1	Iron Man 3 (2013)	6.08	Action|Sci-Fi|Thriller|IMAX
35000000.00	3.318939394	7	1	Horrible Bosses (2011)	6.07	Comedy|Crime
5000000.00	3.884574705	9	1	Shaun of the Dead (2004)	6.07	Comedy|Horror
61000000.00	3.932528876	10	1	Gone Girl (2014)	6.04	Drama|Thriller
1000000.00	3.670275591	8	1	Frozen River (2008)	6.03	Drama
3400000.00	3.73009856	10	1	Margin Call (2011)	6.01	Drama|Thriller
55000000.00	3.415816076	10	1	Meet the Parents (2000)	6.01	Comedy
8000000.00	3.715686275	12	1	Welcome to Dongmakgol (2005)	6.00	Comedy|Drama|War
41000000.00	3.270477816	11	1	8 Mile (2002)	5.99	Drama
81000000.00	3.20909348	5	1	Bruce Almighty (2003)	5.98	Comedy|Drama|Fantasy|Romance
